Time,Symbol,C/P,Trade,Side,Str,Spot,Exp,Premiums,Price,Bid,Ask,Vol,OI
6/17/2022 16:14,SPY,CALL,SWEEP,AT ASK,400,366.26,7/15/2022,190.25K,1.26,1.25,1.26,37210,56662
6/17/2022 16:14,IWM,PUT,SWEEP,,175,165.53,7/15/2022,593.95K,11.88,11.87,11.88,689,100109
6/17/2022 16:14,QQQ,PUT,,TO BID,275,275,6/22/2022,126.00K,4.2,4.19,4.25,5710,2252
6/17/2022 16:14,SPY,CALL,SWEEP,AT ASK,400,366.26,7/15/2022,312.50K,1.25,1.23,1.25,35690,56662
6/17/2022 16:14,SPY,PUT,,TO BID,370,366.26,7/1/2022,213.28K,9.92,9.9,9.96,2161,8056
6/17/2022 16:14,SPY,PUT,,TO ASK,375,366.26,7/1/2022,276.92K,12.88,12.69,13.03,785,2548
6/17/2022 16:14,QQQ,PUT,SPLIT,TO BID,275,274.96,6/22/2022,119.28K,4.2,4.19,4.25,5410,2252
6/17/2022 16:14,SPY,CALL,,ABV ASK,368,366.35,6/24/2022,131.21K,4.97,4.91,4.95,24740,3494
6/17/2022 16:14,SPY,PUT,SWEEP,BLW BID,360,366.35,6/24/2022,368.08K,3.2,3.21,3.24,45955,21438
6/17/2022 16:14,QQQ,PUT,SWEEP,BLW BID,275,274.99,6/22/2022,168.08K,4.2,4.21,4.25,5126,2252
6/17/2022 16:13,SPY,PUT,,,360,366.3,7/1/2022,110.20K,5.51,5.48,5.53,7671,15311
6/17/2022 16:13,IWM,CALL,,TO BID,165,165.56,1/19/2024,1.84M,22.96,21.5,26.5,801,72
6/17/2022 16:13,IWM,PUT,,AT ASK,165,165.56,1/19/2024,1.64M,20.44,18.48,20.44,806,2177
6/17/2022 16:13,SPY,CALL,SWEEP,AT ASK,400,366.38,9/16/2022,449.25K,5.99,5.93,5.99,3861,17418
6/17/2022 16:12,SPY,PUT,,TO BID,375,365.98,7/1/2022,328.50K,13.14,13.07,13.27,510,2548
6/17/2022 16:12,SPY,PUT,,TO ASK,370,365.98,7/1/2022,253.50K,10.14,10.08,10.16,1886,8056
6/17/2022 16:11,QQQ,CALL,,,275,275.01,7/15/2022,129.50K,10.36,10.32,10.41,5190,23299
6/17/2022 16:11,QQQ,PUT,,BLW BID,275,275.01,7/15/2022,131.63K,10.53,10.54,10.62,12478,75648
6/17/2022 16:11,QQQ,PUT,SWEEP,AT BID,277,275.01,6/17/2022,103.00K,2.06,2.06,2.18,13626,4353
6/17/2022 16:11,SPY,PUT,SWEEP,AT BID,350,366.37,7/15/2022,279.00K,5.58,5.58,5.6,37798,150634
6/17/2022 16:10,SPY,PUT,SPLIT,AT ASK,374,366.69,6/17/2022,119.15K,7.31,6.72,7.31,3517,24101
6/17/2022 16:10,GLD,CALL,SWEEP,BLW BID,172,171.22,7/15/2022,346.53K,2.89,2.94,2.99,4036,5260
6/17/2022 16:10,IWM,PUT,SWEEP,AT ASK,158,165.69,7/15/2022,528.00K,3.52,3.48,3.52,41910,8414
6/17/2022 16:09,IWM,PUT,SWEEP,AT BID,156,165.68,7/15/2022,2.99M,2.98,2.98,3.04,52859,33585
6/17/2022 16:08,IWM,PUT,SPLIT,AT ASK,158,165.71,7/15/2022,220.54K,3.54,3.49,3.54,40372,8414
6/17/2022 16:08,IWM,PUT,SWEEP,,156,165.69,7/15/2022,827.13K,2.99,2.99,3,42823,33585
6/17/2022 16:08,IWM,PUT,SWEEP,,156,165.69,7/15/2022,100.90K,2.99,2.99,3,39957,33585
6/17/2022 16:08,IWM,PUT,SWEEP,AT ASK,156,165.7,7/15/2022,184.50K,3,2.99,3,39620,33585
6/17/2022 16:08,IWM,PUT,SPLIT,,158,165.73,7/15/2022,144.32K,3.52,3.51,3.54,34372,8414
6/17/2022 16:08,IWM,PUT,SWEEP,TO ASK,158,165.75,7/15/2022,3.63M,3.54,3.49,3.54,33962,8414
6/17/2022 16:08,IWM,PUT,,AT BID,156,165.68,7/15/2022,313.50K,3,3,3.01,38916,33585
6/17/2022 16:08,IWM,PUT,,AT BID,156,165.68,7/15/2022,177.00K,3,3,3.01,37871,33585
6/17/2022 16:08,IWM,PUT,,AT BID,156,165.68,7/15/2022,198.00K,3,3,3.01,37281,33585
6/17/2022 16:08,IWM,PUT,,AT BID,156,165.68,7/15/2022,130.20K,3,3,3.01,36621,33585
6/17/2022 16:08,IWM,PUT,,,156,165.67,7/15/2022,523.20K,3,3.01,3.01,35530,33585
6/17/2022 16:08,IWM,PUT,,,156,165.68,7/15/2022,132.00K,3,3.01,3.01,35970,33585
6/17/2022 16:08,IWM,PUT,,,156,165.65,7/15/2022,268.19K,3.01,3,3.02,33617,33585
6/17/2022 16:08,IWM,PUT,,AT BID,156,165.65,7/15/2022,439.46K,3.01,3.01,3.06,32531,33585
6/17/2022 16:08,IWM,PUT,SWEEP,,156,165.65,7/15/2022,3.38M,3.01,3.01,3.02,39005,33585
6/17/2022 16:08,IWM,PUT,SWEEP,AT ASK,158,165.62,7/15/2022,112.89K,3.55,3.53,3.55,23702,8414
6/17/2022 16:08,IWM,PUT,,ABV ASK,158,165.65,7/15/2022,500.56K,3.54,3.47,3.53,22968,8414
6/17/2022 16:08,IWM,PUT,,ABV ASK,158,165.66,7/15/2022,144.79K,3.54,3.47,3.53,21365,8414
6/17/2022 16:08,IWM,PUT,SWEEP,ABV ASK,158,165.68,7/15/2022,3.89M,3.52,3.5,3.51,23193,8414
6/17/2022 16:08,IWM,PUT,SWEEP,TO BID,156,165.65,7/15/2022,3.26M,2.95,2.95,2.99,27756,33585
6/17/2022 16:07,IWM,PUT,,AT BID,158,165.65,7/15/2022,104.65K,3.5,3.5,3.51,12009,8414
6/17/2022 16:07,IWM,PUT,SWEEP,AT BID,158,165.65,7/15/2022,199.15K,3.5,3.5,3.51,12029,8414
6/17/2022 16:07,SPY,PUT,SWEEP,AT ASK,355,366.63,7/1/2022,119.40K,3.98,3.95,3.98,18805,3208
6/17/2022 16:07,IWM,PUT,SWEEP,ABV ASK,158,165.68,7/15/2022,630.30K,3.49,3.44,3.48,11460,8414
6/17/2022 16:07,IWM,PUT,,TO ASK,163,165.69,7/15/2022,1.15M,5.1,5.05,5.12,5140,45466
6/17/2022 16:07,IWM,CALL,,,170,165.69,7/15/2022,956.25K,4.25,4.22,4.27,4927,6191
6/17/2022 16:07,IWM,PUT,SPLIT,TO ASK,157,165.72,7/15/2022,126.88K,3.18,3.12,3.19,1331,1207
6/17/2022 16:07,IWM,PUT,,,158,165.72,7/15/2022,152.39K,3.44,3.44,3.44,9240,8414
6/17/2022 16:07,IWM,PUT,,AT ASK,158,165.72,7/15/2022,196.08K,3.44,3.4,3.44,8771,8414
6/17/2022 16:07,IWM,PUT,,AT ASK,158,165.73,7/15/2022,206.06K,3.44,3.4,3.44,8201,8414
6/17/2022 16:07,IWM,PUT,,AT ASK,158,165.74,7/15/2022,223.26K,3.44,3.43,3.44,7602,8414
6/17/2022 16:07,IWM,PUT,,AT ASK,158,165.75,7/15/2022,152.39K,3.44,3.42,3.44,6953,8414
