Time,Sym,C/P,Exp,Strike,Spot,BidAsk,Orders,Vol,Prems,OI,Diff(%),ITM
6/17/2022 15:07,ISEE,Call,10/21/2022,10,9.54,5.05,7,360,183.60K,4.07K,4.71,0
6/17/2022 15:05,CVNA,Call,1/19/2024,60,23.52,4.6,7,634,310.66K,130,155.05,0
6/17/2022 14:51,PTLO,Put,2/17/2023,15,15.19,3.5,7,800,281.00K,0,1.39,0
6/17/2022 14:39,TWLO,Call,6/24/2022,86,84.51,2.95,5,722,198.80K,436,2.48,0
6/17/2022 13:56,ATUS,Put,9/16/2022,7,8.62,0.68,5,6.27K,501.84K,8.63K,23.13,0
6/17/2022 13:38,WE,Put,8/19/2022,5,5.41,0.83,6,2.18K,187.91K,0,8.27,0
6/17/2022 13:19,FSR,Put,8/19/2022,7.5,8.65,0.97,9,3.17K,342.79K,2.52K,15.4,0
6/17/2022 12:42,PINS,Put,1/20/2023,17.5,17.68,3.73,16,1.69K,637.46K,5.51K,1.02,0
6/17/2022 12:32,ET,Call,1/19/2024,10,9.84,1.53,6,1.20K,186.16K,44.72K,1.75,0
6/17/2022 12:26,WFC,Call,1/19/2024,40,38.31,6.15,5,250,152.25K,12.99K,4.98,0
6/17/2022 12:23,HSBC,Put,9/16/2022,27,30.89,0.88,8,5.68K,487.21K,1.75K,14.47,0
6/17/2022 12:21,LMT,Put,1/19/2024,320,396.39,21.3,6,544,1.20M,31,24.01,0
6/17/2022 12:15,HOG,Call,8/19/2022,33,31.03,2.02,5,1.43K,293.76K,145,6.51,0
6/17/2022 12:04,CMCSA,Put,10/21/2022,32.5,38.11,1.31,5,2.69K,337.51K,654,17.69,0
6/17/2022 11:16,GM,Call,7/15/2022,35,31.38,0.52,5,3.31K,175.37K,13.10K,11.52,0
6/17/2022 11:13,C,Put,10/21/2022,45,46.53,3.52,8,1.29K,461.92K,1.62K,3.31,0
6/17/2022 11:05,HES,Put,11/18/2022,90,103.54,6.9,8,722,510.94K,411,15.18,0
6/17/2022 10:56,CLX,Put,7/15/2022,120,122.18,3.55,5,1.18K,464.54K,466,1.12,0
6/17/2022 10:56,BP,Call,10/21/2022,29,28.04,2.12,5,1.94K,419.15K,1.62K,3.46,0
6/17/2022 10:44,SGEN,Call,7/15/2022,190,171.6,5.55,5,1.00K,611.60K,422,11.18,0
6/17/2022 10:38,VLO,Call,12/16/2022,140,113.91,6.57,7,390,261.30K,372,22.74,0
6/17/2022 10:33,VTNR,Call,1/20/2023,20,13.21,2.05,6,1.27K,266.92K,9.89K,51.07,0
6/17/2022 10:17,AAL,Put,7/15/2022,12,12.02,1.06,6,2.23K,239.04K,9.28K,0.22,0
6/17/2022 9:32,Z,Call,1/20/2023,30,29.3,6.15,5,872,545.00K,174,2.56,0
6/16/2022 15:59,ADBE,Put,6/24/2022,320,364.89,4,5,900,373.09K,74,14.03,0
6/16/2022 15:58,QDEL,Call,1/20/2023,120,97.58,9.8,5,323,364.17K,674,23.36,0
6/16/2022 15:18,OKTA,Put,7/15/2022,70,78.96,3.32,5,545,188.65K,4.05K,12.13,0
6/16/2022 14:53,SNOW,Put,11/18/2022,110,113.94,19.8,5,1.27K,2.52M,325,3.71,0
6/16/2022 14:41,PANW,Put,7/15/2022,420,465.63,10.25,5,710,770.55K,1.55K,10.6,0
6/16/2022 14:41,ZIM,Call,12/16/2022,60,47.94,4.95,10,678,332.81K,422,25.39,0
6/16/2022 14:01,SLB,Call,12/16/2022,40,38.69,5.12,5,410,211.15K,16,3.38,0
6/16/2022 13:15,ATUS,Call,1/19/2024,10,7.7,1.57,5,1.13K,181.12K,336,29.69,0
6/16/2022 13:08,XLK,Call,9/16/2022,145,124.18,1.31,5,3.94K,528.03K,12.14K,17.05,0
6/16/2022 12:56,NEM,Put,7/15/2022,62.5,64.56,1.85,5,1.41K,262.16K,7.45K,3.4,0
6/16/2022 12:51,Z,Call,1/20/2023,40,29.15,3.07,5,489,151.59K,9.05K,37.13,0
6/16/2022 12:43,XOM,Put,9/16/2022,85,91.43,4.48,16,2.77K,1.26M,3.63K,7.56,0
6/16/2022 12:02,CS,Call,1/20/2023,6,5.72,0.78,5,2.35K,187.84K,35,4.77,1
6/16/2022 11:54,RDBX,Put,7/15/2022,5,12.35,0.53,5,2.50K,137.50K,28.93K,149.34,0
6/16/2022 11:34,IFF,Put,7/15/2022,110,110.65,4.25,5,674,286.43K,19,0.7,1
6/16/2022 11:13,CMCSA,Call,10/21/2022,40,38.01,1.99,5,1.70K,334.32K,562,5.45,0
6/16/2022 11:06,RCL,Put,1/20/2023,30,36.15,4.62,6,669,311.08K,14.67K,20.49,0
6/16/2022 10:58,XLE,Put,10/21/2022,78,78.53,7.12,5,1.20K,844.59K,2.75K,0.92,1
6/16/2022 10:58,WBD,Put,7/15/2022,12.5,13.31,0.7,5,4.95K,351.56K,8.12K,6.46,0
6/16/2022 10:48,UPST,Put,1/20/2023,17.5,30.77,4.28,5,1.31K,565.10K,3.04K,76.61,0
6/16/2022 10:48,IBM,Put,8/19/2022,130,134.86,5.55,7,1.89K,1.08M,1.54K,3.79,0
6/15/2022 15:29,IWM,Put,7/15/2022,165,173.19,3.18,27,28.09K,8.99M,75.80K,4.97,1
6/15/2022 15:07,SPWR,Call,1/20/2023,25,17.42,1.49,5,1.20K,166.73K,7.29K,46.35,0
6/15/2022 14:41,OXY,Put,11/18/2022,50,60.76,4.75,9,509,251.87K,1.70K,20.86,0
6/15/2022 14:41,FTCH,Call,10/21/2022,10,8.55,1.46,6,1.76K,270.92K,719,16.83,0
6/15/2022 14:38,SE,Call,8/19/2022,100,75.33,3.4,5,988,340.31K,2.27K,33.87,0
6/15/2022 13:58,DWAC,Put,6/17/2022,30,30.22,2.35,7,1.25K,303.34K,3.16K,1.23,1
6/15/2022 13:34,ET,Call,1/20/2023,13,10.8,0.48,6,4.15K,211.54K,9.03K,20.41,0
6/15/2022 12:54,EXPE,Call,6/17/2022,105,103.43,2.08,5,856,190.35K,84,1.34,1
6/15/2022 12:33,NCR,Call,8/19/2022,35,32.7,3.15,5,500,166.60K,15.50K,6.77,0
6/15/2022 11:33,OXY,Put,8/19/2022,45,60.99,1.31,5,999,134.07K,2.26K,34.7,0
6/15/2022 11:06,SHOP,Call,6/17/2022,320,311.6,8.35,5,347,294.95K,2.16K,2.69,1
6/15/2022 11:03,MRVL,Call,9/16/2022,50,48.83,5.45,7,1.41K,763.16K,10.40K,2.76,1
6/15/2022 11:01,ALK,Put,10/21/2022,35,41.62,2.12,5,1.71K,385.43K,70,18.91,0
6/15/2022 10:00,DAL,Call,8/19/2022,41,32.46,0.62,5,2.90K,185.87K,465,26.42,0
6/15/2022 9:38,COIN,Put,6/17/2022,45,52.1,0.97,6,4.00K,402.35K,10.95K,15.82,0
6/15/2022 9:31,TSLA,Put,6/17/2022,650,656.53,21.35,5,524,1.12M,15.27K,1.07,1
6/14/2022 15:34,VERU,Call,9/16/2022,15,12.23,2.2,5,2.56K,600.89K,870,22.7,0
6/14/2022 12:16,BX,Put,9/16/2022,75,96.93,3.4,5,940,329.00K,609,29.17,0
6/14/2022 12:11,BAC,Put,7/15/2022,30,31.84,0.85,8,7.87K,674.12K,13.21K,6.15,0
6/14/2022 11:28,JPM,Put,9/16/2022,110,115.57,5.88,5,782,461.68K,3.72K,5.06,0
6/14/2022 11:26,ABNB,Put,9/16/2022,75,99.05,4.58,7,6.07K,2.72M,250,32.32,0
6/14/2022 10:44,KO,Put,8/19/2022,55,59.01,1.37,5,1.21K,165.38K,1.40K,7.39,0
6/14/2022 10:23,BNTX,Put,9/16/2022,120,135.18,11.3,7,974,1.12M,1.02K,12.79,0
6/14/2022 10:09,IWM,Put,7/15/2022,170,170.18,6.81,5,1.16K,778.65K,149.85K,0.4,1
6/14/2022 10:00,PEP,Put,1/20/2023,155,159.03,9.53,6,300,283.25K,2.06K,2.89,1
6/14/2022 9:36,MSFT,Call,6/17/2022,255,244.05,1.13,5,1.25K,146.38K,7.89K,4.4,1
6/13/2022 15:57,CHWY,Put,9/16/2022,25,27.17,3.9,5,874,350.31K,7.05K,8.57,0
6/13/2022 15:45,FCX,Put,9/16/2022,37,37.14,4.12,25,7.30K,3.03M,12.70K,0.39,1
6/13/2022 15:33,BNTX,Put,9/16/2022,115,133.88,10.7,6,601,649.58K,129,16.44,0
6/13/2022 14:24,NIO,Put,6/17/2022,16,16.12,0.76,7,7.40K,529.33K,3.93K,1.41,1
6/13/2022 13:59,MS,Put,1/19/2024,65,76,7.62,7,582,446.10K,777,17.05,0
6/13/2022 12:29,SHEL,Call,1/20/2023,70,56.55,1.48,5,1.10K,165.15K,1.83K,23.95,0
6/13/2022 12:16,MCD,Call,6/17/2022,240,238.78,2.87,5,650,187.25K,2.58K,0.56,1
6/13/2022 11:09,XLE,Put,6/17/2022,82,82.86,1.68,5,9.05K,1.10M,14.26K,2.17,1
6/13/2022 11:07,GLD,Put,7/1/2022,167.5,170.24,1.52,6,5.92K,885.48K,256,1.67,0
6/13/2022 11:06,FCX,Put,7/15/2022,36,36.67,2.25,5,1.74K,306.40K,55.67K,4.8,1
6/13/2022 10:45,OSH,Put,7/15/2022,15,16.48,1,7,4.13K,433.44K,2.60K,10.18,1
6/13/2022 10:31,TCOM,Put,12/16/2022,20,20.5,3.25,5,751,245.31K,3.15K,2.74,0
6/13/2022 10:30,LCID,Put,7/15/2022,15,16.36,1.44,10,3.46K,521.69K,6.04K,9.1,0
6/13/2022 10:29,OXY,Put,12/16/2022,50,59.28,5.95,15,1.03K,611.05K,35,18.76,0
6/13/2022 10:28,APA,Put,10/21/2022,40,44.7,4.42,12,819,364.45K,1.58K,11.63,1
6/13/2022 9:32,GOOGL,Put,6/17/2022,2100,2157.53,26.75,5,538,1.53M,715,2.68,0
6/10/2022 13:37,SI,Call,7/15/2022,90,71.87,2.83,8,1.50K,441.16K,52,25.51,0
6/10/2022 13:00,ETSY,Put,6/17/2022,75,76.02,3.32,6,1.00K,284.98K,818,2.74,1
6/10/2022 12:45,SLV,Call,1/19/2024,25,20.27,2.54,7,6.30K,1.61M,18.22K,23.39,0
6/10/2022 12:40,XLE,Put,1/20/2023,75,88.06,4.83,5,4.74K,2.32M,5.88K,17.41,1
6/10/2022 11:53,CCL,Put,1/20/2023,10,11.14,1.86,5,1.10K,201.41K,71.80K,12.09,1
6/10/2022 11:31,RDBX,Call,6/17/2022,13,12.32,1.48,5,1.05K,157.76K,14.39K,6.31,1
6/10/2022 11:17,LCID,Put,1/20/2023,15,18.09,3.57,5,694,252.07K,4.37K,20.7,0
6/10/2022 11:01,OXY,Put,11/18/2022,55,63.79,5.83,13,988,577.98K,964,16,1
6/10/2022 10:41,RBLX,Put,10/21/2022,22.5,28.28,3.43,12,1.07K,369.50K,3.38K,25.74,0
6/10/2022 10:22,NKE,Call,7/15/2022,120,114.42,3.75,5,423,160.92K,2.22K,4.85,0
6/10/2022 10:17,KRE,Put,1/20/2023,58,60.04,4.95,5,1.75K,864.08K,10.92K,3.8,1
6/10/2022 9:51,C,Put,7/15/2022,47.5,48.69,1.75,5,1.38K,245.33K,34.02K,2.5,1
6/10/2022 9:50,F,Put,6/17/2022,13,13.06,0.36,5,5.68K,224.44K,60.17K,0.22,1
6/10/2022 9:45,INTC,Call,1/19/2024,60,39.96,1.55,5,1.06K,165.96K,28.09K,50.47,0
6/10/2022 9:42,NIO,Put,6/17/2022,18.5,18.83,0.81,6,5.76K,470.72K,1.93K,1.78,1
6/10/2022 9:32,SPY,Put,7/15/2022,377,394.61,6.72,17,34.24K,22.81M,2.81K,4.82,1
6/9/2022 15:52,CVE,Call,9/16/2022,26,24.23,1.88,5,3.42K,675.52K,113,6.65,0
6/9/2022 15:47,BMY,Call,1/20/2023,77.5,76.21,4.5,5,860,395.68K,2.52K,1.6,0
6/9/2022 15:23,CNC,Put,9/16/2022,80,80.42,5.3,6,300,162.40K,212,0.5,1
6/9/2022 15:03,CHWY,Put,9/16/2022,30,30.51,4.98,5,1.22K,618.08K,4.67K,1.6,1
6/9/2022 14:47,CSCO,Put,10/21/2022,42.5,44.9,2.22,5,1.28K,284.99K,5.05K,5.61,1
6/9/2022 14:33,PFE,Put,1/20/2023,50,52.4,3.48,5,485,164.25K,22.54K,5.51,1
6/9/2022 14:03,LCID,Call,6/17/2022,19.5,19,0.81,5,4.48K,324.90K,766,2.78,0
6/9/2022 13:47,KR,Put,6/17/2022,49,51.35,1.41,5,1.51K,210.14K,276,4.92,1
6/9/2022 13:31,MULN,Call,10/21/2022,1.5,1.23,0.47,5,5.50K,274.95K,21.73K,22.05,0
6/9/2022 13:29,SQ,Call,7/15/2022,85,77.74,4.8,12,707,342.89K,16.56K,9.3,0
6/9/2022 13:12,X,Call,7/15/2022,26,23.35,0.85,5,2.94K,244.97K,2.34K,11.53,0
6/9/2022 12:31,AAL,Put,11/18/2022,15,15.8,2.06,11,3.12K,652.33K,1.32K,5.36,1
6/9/2022 12:12,CLF,Put,1/20/2023,20,20.85,3.32,5,939,309.96K,13.32K,4.89,1
6/9/2022 11:33,NIO,Call,6/16/2023,20,19.01,5.27,5,939,507.37K,2.35K,4.95,1
6/9/2022 11:18,SBUX,Put,12/16/2022,70,79.98,3.77,5,358,134.59K,970,14.49,0
6/9/2022 11:00,BA,Put,1/20/2023,120,136.27,11.45,5,455,523.80K,3.27K,13.6,1
6/9/2022 10:56,HSBC,Call,12/16/2022,33,32.19,2.15,5,757,166.54K,1.61K,2.5,0
6/9/2022 10:29,DOCU,Call,6/17/2022,95,91.48,6.42,5,333,215.45K,1.47K,3.9,0
6/9/2022 10:09,F,Call,1/20/2023,15,13.48,1.26,5,1.55K,198.77K,106.18K,11.25,0
6/9/2022 9:58,META,Call,6/17/2022,200,197.37,4.38,6,911,394.31K,0,1.37,0
6/9/2022 9:44,AAPL,Put,6/10/2022,145,146.57,1,5,1.63K,159.59K,25.08K,1.13,1
6/8/2022 15:59,WISH,Call,12/16/2022,3,2.06,0.45,5,5.07K,207.47K,8.06K,47.42,0
6/8/2022 15:12,KHC,Call,1/20/2023,40,37.46,2.08,5,3.12K,660.37K,10.31K,6.76,0
6/8/2022 14:35,REAL,Call,11/18/2022,4.5,3.06,0.53,5,3.54K,191.99K,25,48.08,0
6/8/2022 13:38,VERU,Put,12/16/2022,14,15.06,4.6,5,412,193.00K,200,8.29,1
6/8/2022 13:36,SPLK,Put,8/19/2022,90,106.38,4.07,6,610,259.25K,198,18.19,1
6/8/2022 12:55,UEC,Call,7/15/2022,5,4.49,0.38,5,5.87K,257.35K,2.52K,9.56,0
6/8/2022 12:39,PLTR,Put,1/20/2023,9,9.14,1.8,5,880,158.35K,9.80K,1.81,1
6/8/2022 11:44,NKE,Call,1/20/2023,135,122.91,8.65,6,729,640.12K,1.57K,9.8,0
6/8/2022 11:06,KWEB,Put,11/18/2022,29,33.34,2.78,5,2.27K,634.70K,748,14.73,1
6/8/2022 11:03,OXY,Call,6/24/2022,70,69.73,3,17,3.31K,983.95K,806,0.65,1
6/8/2022 10:22,OXY,Put,12/16/2022,60,68.79,6.88,16,932,638.98K,66,14.81,1
6/8/2022 10:00,WDC,Call,7/15/2022,62.5,61.52,2.99,8,3.73K,1.12M,9.82K,1.64,0
6/8/2022 9:46,JOBY,Call,1/20/2023,7.5,5.47,0.95,6,3.91K,410.97K,20.36K,37.24,0
6/8/2022 9:45,RBLX,Call,7/15/2022,35,33.03,3,6,700,210.00K,7.39K,5.98,0
6/8/2022 9:38,AAPL,Call,6/17/2022,150,149.25,3.02,6,725,213.92K,86.73K,0.64,0
6/8/2022 9:35,DOCU,Call,6/24/2022,94,90.19,7.02,5,323,229.09K,512,4.42,0
6/7/2022 15:18,COUP,Put,7/15/2022,70,73.8,5.2,7,612,332.69K,176,4.81,1
6/7/2022 14:59,UPST,Put,6/10/2022,43,44.38,2,5,2.84K,447.01K,356,4.84,1
6/7/2022 14:31,PYPL,Call,7/15/2022,100,88.39,2.2,10,2.45K,531.46K,17.39K,13.4,0
6/7/2022 14:25,RIG,Call,1/20/2023,5,4.78,1.03,5,2.17K,226.36K,20.74K,4.54,1
6/7/2022 14:21,RIG,Call,11/18/2022,5.5,4.74,0.66,6,3.17K,218.52K,1.99K,15.91,0
6/7/2022 13:22,SLB,Call,8/19/2022,55,48.09,1.62,7,1.38K,225.81K,1.19K,14.36,0
6/7/2022 12:07,EIX,Put,1/20/2023,65,69.69,3.6,6,1.04K,395.96K,195,7.22,1
6/7/2022 11:54,ING,Put,10/21/2022,10,11.14,0.58,6,4.45K,266.70K,2.56K,11.18,1
6/7/2022 11:46,MOS,Put,7/1/2022,50,56.98,1.1,5,2.31K,249.01K,375,14.41,1
6/7/2022 11:44,LOVE,Put,6/17/2022,35,37.35,2.4,5,1.09K,267.63K,585,6.93,1
6/7/2022 11:42,OXY,Put,11/18/2022,60,69.21,6.12,7,423,260.14K,884,15.37,1
6/7/2022 11:13,TWTR,Call,6/17/2022,40,39.87,1.39,5,910,130.32K,19.36K,0.46,1
6/7/2022 11:05,RBLX,Call,7/15/2022,40,31.64,1.22,6,2.90K,364.70K,14.33K,26.43,0
6/7/2022 10:49,PFE,Call,1/20/2023,57.5,53.26,2.81,5,497,141.36K,5.30K,7.89,0
6/7/2022 10:31,CVX,Call,8/19/2022,195,179.29,4,5,734,297.27K,2.31K,8.82,0
6/7/2022 9:46,COIN,Call,1/19/2024,75,67.67,25.55,5,450,1.17M,216,11.12,0
6/7/2022 9:41,BABA,Call,7/15/2022,110,100.73,3.82,6,788,297.06K,15.15K,9.42,1
6/7/2022 9:38,VERU,Call,8/19/2022,17,14.52,2.3,5,1.37K,327.84K,215,17.04,0
6/6/2022 15:56,KR,Put,7/15/2022,49,52.17,1.63,12,8.74K,1.40M,1.45K,6.55,1
6/6/2022 15:50,CRTO,Put,7/15/2022,25,26.31,0.95,5,1.50K,150.00K,42,5.11,1
6/6/2022 15:29,BIDU,Put,6/17/2022,145,146.32,4.72,6,453,211.13K,4.22K,1.14,1
6/6/2022 15:28,PTON,Call,10/21/2022,17,12.47,1.52,5,1.69K,257.38K,2.78K,36.58,0
6/6/2022 13:47,SNAP,Call,6/10/2022,15.5,15.23,0.53,5,7.50K,390.94K,2.01K,2.11,1
6/6/2022 11:44,WMT,Put,8/19/2022,125,125.13,5.72,5,1.48K,848.22K,3.75K,0.15,1
6/6/2022 10:17,AAL,Call,7/15/2022,18,16.42,0.66,5,5.00K,312.00K,11.37K,10.26,0
6/6/2022 9:59,IWM,Put,8/19/2022,170,187.77,3.97,6,1.88K,750.62K,10.36K,10.46,1
6/3/2022 15:52,NEX,Call,12/16/2022,12.5,12.06,2.02,8,2.29K,462.52K,1.10K,4.29,1
6/3/2022 15:48,TWTR,Put,6/16/2023,30,40.1,3.6,5,676,256.88K,4.29K,33.72,0
6/3/2022 15:45,DKNG,Put,8/19/2022,12.5,12.68,1.85,5,1.86K,319.69K,10.41K,3.32,1
6/3/2022 15:41,TSN,Put,6/16/2023,77.5,87.62,5.7,10,3.00K,1.74M,3,13.04,0
6/3/2022 15:06,PAAS,Put,1/20/2023,23,23.6,3.1,17,4.05K,1.30M,2.49K,2.63,1
6/3/2022 14:23,ASO,Call,10/21/2022,40,34.65,3.27,5,953,313.52K,1.67K,15.47,0
6/3/2022 13:20,PLUG,Put,7/15/2022,15,17.94,0.9,5,4.87K,445.42K,18.96K,18.91,1
6/3/2022 12:16,MDB,Call,6/10/2022,285,272.89,7.15,5,372,263.90K,64,5.25,1
6/3/2022 11:37,LOGI,Put,9/16/2022,55,60.16,3.25,5,2.54K,833.85K,419,9.48,1
6/3/2022 11:17,UBER,Put,7/15/2022,20,23.86,0.66,5,2.50K,161.94K,14.63K,19.78,0
6/3/2022 11:04,DIS,Put,1/20/2023,105,108.18,9.45,5,550,510.00K,4.56K,3.26,1
6/3/2022 10:43,XOM,Call,7/15/2022,100,98.6,3.62,5,1.10K,402.50K,14.01K,1.38,1
6/3/2022 10:21,MDT,Call,9/16/2022,105,97.03,2.01,5,877,190.28K,1.55K,7.73,0
6/3/2022 10:19,AVT,Put,8/19/2022,47,48.06,2.88,5,1.50K,419.41K,2,2.39,1
6/3/2022 10:00,ORCL,Call,9/16/2022,72.5,72.45,5.12,5,323,166.03K,11.63K,0.08,1
6/3/2022 9:58,PSTG,Put,12/16/2022,25,28.16,2.92,5,487,146.10K,82,12.42,1
6/3/2022 9:52,PEP,Call,10/21/2022,175,165.76,4.65,5,792,377.95K,1.30K,5.57,0
6/3/2022 9:51,PG,Call,10/21/2022,155,146.12,4.23,5,719,312.62K,1.68K,5.97,0
6/3/2022 9:44,CRWD,Put,6/3/2022,160,164.87,1.09,5,1.11K,204.43K,5.59K,1.71,1
6/2/2022 15:28,AAL,Put,7/15/2022,16,17.4,0.76,8,3.07K,236.31K,892,8.7,1
6/2/2022 15:10,RNG,Call,11/18/2022,90,67.93,5.85,7,864,464.58K,9,35,0
6/2/2022 15:00,AR,Call,1/20/2023,60,44.57,4.55,5,594,273.24K,2,34.62,0
6/2/2022 14:44,TEVA,Call,12/16/2022,11,9.47,0.77,5,3.46K,272.95K,2.91K,16.71,0
6/2/2022 14:12,W,Call,7/15/2022,65,64.5,7.55,5,468,363.50K,238,0.77,0
6/2/2022 13:29,DAL,Call,7/15/2022,41,40.08,2.14,11,7.60K,1.61M,462,2.67,0
6/2/2022 12:27,PAAS,Call,10/21/2022,25,23.69,2.17,16,5.96K,1.37M,529,5.59,0
6/2/2022 12:17,HCP,Put,10/21/2022,17.5,40.93,1.55,5,1.24K,204.78K,0,130.39,0
6/2/2022 11:50,MDLZ,Call,9/16/2022,62.5,62.35,2.93,5,1.46K,431.88K,1.29K,0.23,1
6/2/2022 11:21,W,Put,8/19/2022,60,62.01,10.35,5,399,409.80K,2.17K,3.74,1
6/2/2022 11:14,NFLX,Call,6/3/2022,200,199.77,2.94,5,741,155.39K,3.44K,1.1,1
6/2/2022 11:02,UBER,Call,1/19/2024,50,24,1.43,5,1.00K,145.00K,15.44K,108.53,0
6/2/2022 11:00,PFE,Call,1/19/2024,55,51.26,5.72,5,576,329.62K,3.00K,7.34,0
6/2/2022 10:44,ONON,Call,10/21/2022,25,22.32,2.57,5,950,249.00K,48,12.22,0
6/2/2022 10:35,DOCU,Call,12/16/2022,115,85.63,8.93,5,455,409.80K,922,34.21,0
6/2/2022 10:34,MOS,Call,1/20/2023,70,60.24,7.58,5,845,630.51K,9.08K,16.44,0
6/1/2022 15:49,SMAR,Call,11/18/2022,50,36.2,2.3,10,2.41K,571.64K,16,37.73,0
6/1/2022 14:57,MRO,Call,7/15/2022,33,31.49,1.81,5,1.63K,297.69K,1.22K,4.3,0
6/1/2022 14:48,PG,Put,6/16/2023,140,145.2,11.08,5,315,349.65K,122,3.71,1
6/1/2022 14:43,DT,Call,11/18/2022,50,39.42,2.57,5,990,257.40K,1.90K,28.21,0
6/1/2022 14:04,LPI,Call,6/17/2022,100,99.68,6.45,6,587,330.14K,1.59K,2.77,1
